P-nummer;Startdato;Ophørsdato;Navn;Adresse;Postnr.;By;Hovedbranche;Telefonnr;Email;Reklamebeskyttet
1023758268;18.08.2018;;Skalborg Apotek;Otto Mønsteds Vej 1;9200;Aalborg;477300 Apoteker;21608664;063fo@apoteket.dk;Ja
1025913309;01.09.2020;;Stensballe Apotek;c/o Superbrugsen Stensballe -   Sundgårdsvej 1;8700;Horsens;477300 Apoteker;76254200;;Ja
1008657978;01.01.2000;;Hasseris apotek;Hasseris Bymidte 9;9000;Aalborg;477300 Apoteker;;;Nej
1003063457;19.11.1979;;KORSØR APOTEK;Algade 49A;4220;Korsør;477300 Apoteker;58370003;korsoer@apotekeren.dk;Nej
1019855666;31.10.2014;;Farum Apotek;Farum Bytorv 69;3520;Farum;477300 Apoteker;44950239;vk@apoteket.dk;Ja
1024967944;01.09.2019;;Nyholm Apotek;Nyholmvej 20;7500;Holstebro;477300 Apoteker;70305366;053lm@apoteket.dk;Ja
1017822671;23.07.2012;;vinderup apotek;Søndergade 14;7830;Vinderup;477300 Apoteker;97441038;;Nej
1002903980;01.01.1992;;ØLBY Apotek;Ølbycenter 25;4600;Køge;477300 Apoteker;56630121;;Nej
1002948190;19.11.1979;;GODTHÅB APOTEK;Godthåbsvej 4;2000;Frederiksberg;477300 Apoteker;38344455;bilal.marashdeh@gmail.com;Nej
1025570878;01.04.2020;;Køgevejens apotek;Roskildevænget 2B;4000;Roskilde;477300 Apoteker;46322300;roskilde@apotekeren.dk;Nej
1020062394;09.01.2015;;Åbyhøj Apotek;Haslevej 17 -  st. 1.;8230;Åbyhøj;477300 Apoteker;86158000;337lk@apoteket.dk;Ja
1023927477;04.09.2018;;Taastrup Apotek;Taastrup Hovedgade 60;2630;Taastrup;477300 Apoteker;23801099;bgzar@yahoo.dk;Ja
1021460784;01.08.2016;;Vestergade apotek;Vestergade 28;5800;Nyborg;477300 Apoteker;;;Ja
1020294880;25.02.2015;;Gram Apotek;Torvet 4;6510;Gram;477300 Apoteker;74821515;;Ja
1020018050;01.03.2015;;Egeris Apotek;Kirke Alle 94;7800;Skive;477300 Apoteker;36217111;bak@apoteket.dk;Ja
1002912539;01.07.1994;;TÅSTRUP APOTEK;Taastrup Hovedgade 60;2630;Taastrup;477300 Apoteker;43990098;;Nej
1025068161;10.09.2019;;Præstø Apotek;Svend Gønges Torv 12;4720;Præstø;477300 Apoteker;55991401;Praestoe@apoteket.dk;Ja
1025300870;01.01.2020;;Hedehusene Apotek;Hovedgaden 421;2640;Hedehusene;477300 Apoteker;46562255;;Ja
1020300562;01.04.2015;;Vrå Apotek;Jernbanegade 6;9760;Vrå;477300 Apoteker;98981061;172pi@apoteket.dk;Nej
1023935127;12.11.2018;;Slotgade apotek;c/o Føtex -   Slotsgade 10;9000;Aalborg;477300 Apoteker;;;Ja
1008655061;01.01.2000;;Støvring Apotek;Hobrovej 84;9530;Støvring;477300 Apoteker;98373045;;Nej
1024005425;05.10.2018;;Dæmningens Apotek;c/o Meny -   Dæmningen 17;7400;Herning;477300 Apoteker;97120022;hkj@apoteket.dk;Ja
1003159914;19.11.1979;;BOGENSE APOTEK;Vestergade 9;5400;Bogense;477300 Apoteker;64811011;;Ja
1021502703;01.09.2016;;Havne Apotek;c/o uldum apotek -   Windfeld-Hansens Gd 2;7100;Vejle;477300 Apoteker;75678003;havneapotek@hotmail.com;Ja
