ApotekNr;Navn;TypeID;Adresse;PostNr;Startdato;Slutdato;amt;Kommune;Region
359;Albertslund Apotek;6;Bytorvet 5;2620;01Jan1966 0:00:00,000;;1084;165;1084
412;Allerød Apotek;6;Mølcks Passage 5;2620;01.01.1992;31.03.2008;1084;201;1084
346-1;Allerød Apotek;7;Allerød Stationsvej 9;3450;07.03.2008;;1084;201;1084
082-1;Allinge Apotek;7;Kirkegade 13;3770;01May2016 0:00:00,000;;1084;400;1084
175;Allinge Apotek;6;Kirkegade 13;3770;01-01-1898 00:00;01May2016 0:00:00,000;1084;400;1084
243-1;Amager Strand Apotek;7;Strandlodsvej 41;2300;21Sep2015 0:00:00,000;;1084;101;1084
022-1;Antvorskov Apotek;7;Idagårdsvej 1;4200;01Jun2018 0:00:00,000;;1085;330;1085
411;Apopro Online Apotek;6;Ventrupvej 27;2670;15Jun2017 0:00:00,000;;1085;253;1085
090-7;Apotek Borups Alle;7;Borups Alle 116 st. tv.;2000;12Nov2018 0:00:00,000;;1084;147;1084
090-1;Apotek Fisketorvet;7;Fisketorvet, Kalvebod Brygge 59;1561;01Aug2015 0:00:00,000;;1084;101;1084
090-3;Apotek Humletorvet;7;Humletorvet 23;1799;01Nov2016 0:00:00,000;;1084;101;1084
090-6;Apotek Illum;7;Østergade 52;1001;03Sep2018 0:00:00,000;25Aug2019 0:00:00,000;1084;101;1084
090-2;Apotek Spinderiet;7;Valby Torvegade 13;2500;02May2016 0:00:00,000;;1084;101;1084
090-8;Apotek Strøget;7;Frederiksberggade 1A;1459;02Sep2019 0:00:00,000;;1084;101;1084
090-4;Apotek Vesterbro;7;Vesterbrogade 60;1620;13Feb2017 0:00:00,000;;1084;101;1084
090-5;Apotek Ørsted;7;H.C. Ørsteds Vej 38;1879;01Aug2017 0:00:00,000;;1084;147;1084
285-2;Apoteket Borgen;7;Kastanie Allé 3, st., dør 30;6400;29Sep2016 0:00:00,000;;1083;540;1083
123-2;Apoteket Dalumcentret;7;Dalumvej 46;5250;21Sep2017 0:00:00,000;;1083;461;1083
079-2;Apoteket Egevangen;7;Egevangen 8;2980;01Sep2015 0:00:00,000;;1084;210;1084
111-1;Apoteket Frederiksberg Centret;7;Falkoner Alle 21;2000;01Dec2017 0:00:00,000;;1084;147;1084
017-4;Apoteket Frihedens Butikscenter;7;Strandmarksvej 20;2650;09Jun2016 0:00:00,000;01Jul2017 0:00:00,000;1084;167;1084
355-3;Apoteket Frihedens Butikscenter;7;Strandmarksvej 20;2650;01Jul2017 0:00:00,000;01Oct2018 0:00:00,000;1084;167;1084
364-2;Apoteket Gefion;7;Gefionsvej 45A;3000;06Feb2017 0:00:00,000;;1084;217;1084
109-1;Apoteket Glostrup Shoppingcenter;7;Glostrup Shoppingcenter 48;2600;26Aug2016 0:00:00,000;;1084;161;1084
013-1;Apoteket Havnegade;7;Havnegade 69;4900;01Dec2015 0:00:00,000;;1085;360;1085
281-1;Apoteket HerningCentret;7;Merkurvej 1D,st.109, HerningCentret;7400;01Jul2015 0:00:00,000;;1082;657;1082
225-2;Apoteket i Ballerup Centret;7;Ballerup-Centret 2, 1. 3;2750;26Oct2015 0:00:00,000;;1084;151;1084
223-2;Apoteket i Fredericia Sundhedshus;7;Dronningensgade 97 A st;7000;01Nov2018 0:00:00,000;;1083;607;1083
184-1;Apoteket Jernbane Allé;7;Jernbane Allé 31;2720;01Jul2019 0:00:00,000;;1084;101;1084
327-1;Apoteket Lille Bjørn;7;Nordens Plads 4A, stuen;2000;04Jan2016 0:00:00,000;;1084;147;1084
360-2;Apoteket Møllebro;7;Slangerupgade 50;3400;09Dec2019 0:00:00,000;;1084;219;1084
096-3;Apoteket Nørregade-Odder;7;Nørregade 6;8300;01Sep2018 0:00:00,000;;1082;727;1082
152-3;Apoteket Odense Banegård;7;Østre Stationsvej 27, 2.sal;5000;14Jan2019 0:00:00,000;;1083;461;1083
281-2;Apoteket Porshøj;7;Porsvænget 4;7400;03Aug2015 0:00:00,000;;1082;657;1082
170-3;Apoteket ROs Torv;7;ROs Torv 210;4000;28Aug2015 0:00:00,000;;1085;265;1085
274-1;Apoteket Thors Bakke;7;Biografgade 3;8900;01Sep2015 0:00:00,000;;1082;730;1082
282-1;Apoteket Vesterbro Odense;7;Vesterbro 39;5000;21Sep2018 0:00:00,000;;1083;461;1083
318-A1;Apoteksudsalg fra Trekroner Apopotek;8;Frugthaven 14;2500;01.01.1992;01Jun2012 0:00:00,000;13;101;
367-A2;Apoteksudsalg Vest;8;Frederiksværkgade 115;3400;13.09.2001;31Oct2016 0:00:00,000;1084;219;1084
367-A1;Apoteksudsalg Øst;8;Fredskovhellet 1;3400;01.01.1992;27Apr2020 0:00:00,000;1084;219;1084
281-A2;Apoteksudsalget herningCentret;8;Merkurvej 51;7400;18.11.2013;01Jul2015 0:00:00,000;1082;657;1082
327-A1;Apoteksudsalget Lille Bjørn;8;Nordens Plads 2;2000;01Jun2004 0:00:00,000;04Jan2016 0:00:00,000;1084;147;1084
364-A1;Apoteksudsalget på Kingosvej;8;Kingosvej 54;3000;01.03.2008;04Feb2017 0:00:00,000;1084;217;1084
077-A1;Apoteksudsalget RingStedet;8;Klosterparks Allé 10;4100;09Jul2008 0:00:00,000;01Sep2015 0:00:00,000;1085;329;1085
274-A1;Apoteksudsalget Thors Bakke;8;Biografgade 1 B;8900;20.01.2014;01Sep2015 0:00:00,000;1082;730;1082
323-A1;Apoteksudsalget Vestamager Centret;8;Ugandavej 111;2770;01.07.2015;06Dec2018 0:00:00,000;1084;185;1084
220-A1;Arden Apoteksudsalg;8;Skovvej 4;9510;01Apr2003 0:00:00,000;;1081;846;1081
216;Asnæs Apotek;6;Asnæs Centret 7;4550;01Jan1905 0:00:00,000;;1085;306;1085
024;Assens Apotek;6;Østergade 35;5610;01-01-1753 00:00;;1083;420;1083
326-1;Assentoft Apotek;7;Storegade 61, Assentoft;8960;01Jan2016 0:00:00,000;;1082;730;1082
326-A1;Assentoft Apoteksudsalg;8;Storegade 61, Assentoft;8960;01.01.2001;01Jan2016 0:00:00,000;1082;730;1082
285-1;Augustenborg Apotek;7;Storegade 41;6440;01Dec2015 0:00:00,000;;1083;540;1083
285-A1;Augustenborg Apoteksudsalg;8;Storegade 41;6440;01.01.1992;30Nov2015 0:00:00,000;1083;540;1083
246-2;Aulum Apotek;7;Skolegade 2;7490;01Oct2016 0:00:00,000;;1082;657;1082
246-A1;Aulum Apoteksudsalg;8;Skolegade 2;7490;01.01.2000;01Oct2016 0:00:00,000;1082;657;1082
104-1;Auning Apotek;7;Centervej 4B;8963;29.12.2009;;1082;707;1082
355-A1;Avedøre Apoteksudsalg;8;;;01.01.1992;31Dec2013 0:00:00,000;1084;167;1084
223-A1;Axeltorvs Apoteksudsalg;8;Jyllandsgade 24;7000;01Apr2019 0:00:00,000;01May2019 0:00:00,000;1083;607;1083
353;Bagsværd Apotek;6;Bagsværd Torv 6;2880;01Jan1956 0:00:00,000;;1084;159;1084
225;Ballerup Apotek;6;Centrumgaden 24-26;2750;01Jan1907 0:00:00,000;;1084;151;1084
225-A4;Ballerup Centrets Apoteksudsalg;8;Banetoften 30;2750;12Dec2011 0:00:00,000;26Oct2015 0:00:00,000;1084;151;1084
143-1;Balling Apotek;7;Vestergade 1, Balling;7860;01Dec2003 0:00:00,000;;1082;779;1082
205;Balling Apotek;6;Vestergade 1, Balling;7860;01Jan1903 0:00:00,000;30Nov2003 0:00:00,000;76;781;
019-1;Bankager Apotek;7;Bankagervej 111;8700;01Jul2015 0:00:00,000;;1082;615;1082
019-A1;Bankagervejs Apoteksudsalg;8;Bankagervej 111;8700;01.01.2000;01Jul2015 0:00:00,000;1082;615;1082
241-A1;Beder Apoteksudsalg;8;Butikstorvet;8330;01.01.2000;02Oct2017 0:00:00,000;1082;751;1082
241-2;Beder-Malling Apotek;7;Byvej 2;8330;02Oct2017 0:00:00,000;;1082;751;1082
419;Bellinge Apoteksudsalg;8;Elmegårdsvej 2;5250;01.03.2003;30.06.2015;1083;461;1083
123-A1;Bellinge Apoteksudsalg;8;Elmegårdsvej 2;5250;01.07.2015;31.05.2020;1083;461;1083
088-1;Billund Apotek;7;Butikstorvet 3;7190;01Jul2015 0:00:00,000;;1083;530;1083
088-A1;Billund Apoteksudsalg;8;Butikstorvet 3;7190;01.01.1992;01Jul2015 0:00:00,000;1083;530;1083
346;Birkerød Apotek;6;Teglporten 27;3460;01Jan1938 0:00:00,000;;1084;230;1084
145;Bjerringbro Apotek;6;Nørregade 4;8850;01-01-1877 00:00;;1082;791;1082
180-1;Bjæverskov Apotek;7;Ejbovej 33;4632;20Jun2019 0:00:00,000;;1085;259;1085
048;Bogense Apotek;13;Vestergade 9;5400;01-01-1799 00:00;31Oct2017 0:00:00,000;1083;480;1083
316-2;Bogense Apotek;7;Vestergade 9;5400;01Nov2017 0:00:00,000;;1083;480;1083
180;Borup Apotek;6;Hovedgaden 15;4140;01-01-1899 00:00;;1085;259;1085
271-1;Bramdrupdam Apotek;7;Centervej 5;6000;26Mar2020 0:00:00,000;;1083;621;1083
253;Bramminge Apotek;6;Storegade 2, st.;6740;01Jan1907 0:00:00,000;;1083;561;1083
