,GNS_OMS,GNS_MED_PROFIT,ALDER,d65,d17,samlet_ind,Besk,Besk1864,DK,antal_apo,Kommune_y,Kode,Befolkning,År
0,25170231.333,9069587.0756,35.38,0.1031360263,0.1751163605,203077.09733,0.5371755014999999,0.714953568,0.7635259743,27,København,101,580184,2015
27,28640665.74,10270420.422,38.84,0.1660110451,0.17482604489999998,230605.31073000003,0.5240325885,0.7483735449,0.8184354049,5,Frederiksberg,147,103192,2015
32,19894295.25,7154487.87,41.36,0.20639100859999998,0.21644824149999997,185774.18525,0.4603171304,0.7415835524,0.8532596272,4,Ballerup,151,48355,2015
36,19786422.4,7110191.66,40.83,0.1893437518,0.208397033,162131.77927,0.44509146689999995,0.6877358491,0.689268265,3,Brøndby,153,35050,2015
39,,,43.41,0.23730731160000001,0.2279027012,234501.33211999998,0.4786827195,0.8048748179,0.91898017,1,Dragør,155,14028,2015
40,26172175.95,9363432.795,41.04,0.1927405441,0.2283742535,322673.50025,0.49913363369999997,0.7693973461,0.8465865167000001,4,Gentofte,157,74932,2015
44,33829117.5,12117829.68,39.25,0.1651794917,0.2225167123,201508.69397,0.49523064200000005,0.7535316523000001,0.8101263954000001,3,Gladsaxe,159,67347,2015
47,,,40.63,0.18712434890000001,0.2004363118,192028.94851,0.4966541756,0.7599796037000001,0.8233850820999999,1,Glostrup,161,22357,2015
48,,,40.42,0.18340780350000002,0.22267177989999998,185265.96835,0.48297857340000006,0.7534246575,0.8221031858,1,Herlev,163,28148,2015
49,,,38.75,0.1727044476,0.2256456241,163105.33193,0.4542024507,0.6957196585,0.7275503970999999,1,Albertslund,165,27806,2015
50,,,39.44,0.17101701649999998,0.21803486589999999,185228.12364,0.4887877063,0.7504734114,0.8168468981,2,Hvidovre,167,52380,2015
52,24600421.3,8974863.84,39.16,0.1697157726,0.2244795837,179638.13224,0.47864929429999997,0.7319205298,0.7379896007,3,Høje-Taastrup,169,49230,2015
