,Kommune,ALDER,d65,d17,samlet_ind,Besk,Besk1864,DK,Befolkning,markedsvaerdix,yderkom,antal_apo,År
0,101,36.1,0.1057361148,0.1725983177,197499.87264000002,0.5481757946,0.7316536387,0.7897743009,518574,2068229.7345,0,26,2008
26,147,39.68,0.1608666828,0.1665596818,221333.09441999998,0.5406592709,0.7648697568,0.8450692298,95029,2206108.6881,0,5,2008
31,151,40.04,0.1811468838,0.2276256382,186155.49132,0.49253920619999997,0.7681759748999999,0.8795705288,47398,2432344.5019,0,3,2008
34,153,40.57,0.1753746816,0.21743380129999998,172691.87875,0.4788105413,0.7330208485999999,0.7560244539000001,33762,1951806.2795,0,2,2008
36,155,42.38,0.19588397579999997,0.2345089852,220357.75501999998,0.5137134743,0.8202335651,0.9352813690999999,13411,2977526.4086,0,1,2008
37,157,40.86,0.175287274,0.2351204975,279559.31205,0.5209615274,0.8075544393,0.8886364943,69794,3727084.8756,0,4,2008
41,159,39.34,0.1594420635,0.2292948302,199598.31119,0.5188743559000001,0.7898528192000001,0.8663020214,63233,1876518.6074,0,3,2008
44,161,40.64,0.1782654227,0.2011614623,199771.08193,0.5307446453,0.8013824884999999,0.8759242475,21008,1794056.8257,0,1,2008
45,163,40.58,0.17852449780000001,0.2221888493,186215.85746,0.5096327514,0.7875745215000001,0.8565999398,26635,2010454.6730000002,0,1,2008
46,165,37.05,0.12950263480000002,0.242582834,175191.11643,0.5034053036,0.7418890105,0.7446384582,27706,1476117.3661,0,1,2008
47,167,39.55,0.1635336061,0.2242028927,188435.2435,0.517775567,0.7910660437,0.8608612673,49366,1870502.4073,0,2,2008
49,169,38.03,0.1366877637,0.23757383969999998,194068.10577,0.5236261295,0.7733599081,0.8021457139,47400,1628710.6729,0,2,2008
51,173,41.67,0.19356904449999998,0.2112473803,231441.34403,0.5124379079,0.7992857377,0.8972630759,51532,2790996.9394,0,3,2008
54,175,40.72,0.1857403114,0.2145854036,185826.16387000002,0.5089757420000001,0.7899078341,0.8623350759,36228,1838627.4997,0,1,2008
55,183,36.74,0.1136057044,0.2446039699,176679.12434,0.5094750073,0.7374717833,0.6840375133,20756,1664960.5802,0,1,2008
56,185,40.88,0.17280051719999998,0.22049534989999997,193975.25134000002,0.5190056295000001,0.7996061862,0.9043491256999999,40214,1741469.7931,0,2,2008
58,187,39.18,0.1472502806,0.2392817059,218509.23041999998,0.5554639484,0.8360795801,0.8504721931,13365,1846336.9156,0,1,2008
59,190,40.13,0.1723008663,0.2572100148,230322.24338000003,0.5148965444,0.8206471352,0.8875747473000001,37864,2641393.9523,0,2,2008
61,201,39.03,0.1520507116,0.2704756307,236801.75045999998,0.5415824915999999,0.8565916867,0.9371632997,23821,2280095.2513,0,1,2008
62,210,40.0,0.15262138890000002,0.2471085749,219365.39138000002,0.5206056582999999,0.7939538246,0.8710039831999999,39254,2062919.743,0,3,2008
65,217,41.05,0.1784351301,0.22822793309999997,191631.32572,0.49848957479999995,0.7691435524,0.8892792645,61053,2138881.16,0,4,2008
69,219,38.69,0.1517597332,0.2540940082,210389.35830999998,0.5334099421,0.8251190093,0.9123893429000001,47081,2027099.2365,0,2,2008
71,223,43.27,0.2199095023,0.22731386260000003,267855.89364,0.5078153998,0.8154810779,0.9148348248999999,24310,3527698.6,0,1,2008
72,230,41.57,0.1967726978,0.2411944728,260718.51844,0.5008759832,0.8071789081999999,0.9038841465999999,53915,3350607.4233,0,3,2008
75,240,37.77,0.1307547952,0.2706246497,226466.13921999998,0.5561116129,0.8542668514,0.9420208481,41031,1776779.8506,0,1,2008
76,250,40.32,0.1705916919,0.237399991,197181.27974,0.5234753475,0.811212596,0.9441753067,44246,1649004.9878,0,2,2008
78,253,39.44,0.1488185856,0.2465224917,212498.0047,0.5343379034,0.8084136359,0.8929526834999999,47951,2094195.3064,0,2,2008
80,259,38.88,0.14860681109999999,0.2457430341,194800.09879000002,0.5225058577,0.7953257173,0.9160192379000001,56848,1878706.5046,0,4,2008
84,260,41.75,0.1803437268,0.2141360075,178594.85423,0.5002908104,0.7682913823,0.9181207186,31013,1603151.05,0,2,2008
