kommune;by;postnummer;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
101;København;0900, 0910, 0913, 0914, 0917, 0918, 0919, 0929, 0960, 0999, 1001, 1002, 1003, 1004, 1005, 1006, 1007, 1008, 1009, 1010, 1011, 1012, 1013, 1014, 1015, 1016, 1017, 1018, 1019, 1020, 1021, 1022, 1023, 1024, 1025, 1026, 1045, 1050, 1051, 1052, 1053, 1054, 1055, 1055, 1056, 1057, 1058, 1059, 1060, 1061, 1062, 1063, 1064, 1065, 1066, 1067, 1068, 1069, 1070, 1071, 1072, 1073, 1074, 1092, 1093, 1095, 1098, 1100, 1101, 1102, 1103, 1104, 1105, 1106, 1107, 1110, 1111, 1112, 1113, 1114, 1115, 1116, 1117, 1118, 1119, 1120, 1121, 1122, 1123, 1124, 1125, 1126, 1127, 1128, 1129, 1130, 1131, 1140, 1147, 1148, 1150, 1151, 1152, 1153, 1154, 1155, 1156, 1157, 1158, 1159, 1160, 1161, 1162, 1164, 1165, 1165, 1166, 1167, 1168, 1169, 1170, 1171, 1172, 1173, 1174, 1175, 1200, 1201, 1202, 1203, 1204, 1205, 1206, 1207, 1208, 1209, 1210, 1211, 1212, 1213, 1214, 1215, 1216, 1217, 1218, 1218, 1218, 1218, 1218, 1218, 1219, 1220, 1221, 1240, 1250, 1251, 1252, 1253, 1254, 1255, 1256, 1257, 1259, 1259, 1260, 1261, 1263, 1263, 1264, 1265, 1266, 1267, 1268, 1270, 1271, 1300, 1301, 1302, 1303, 1304, 1306, 1307, 1307, 1308, 1309, 1310, 1311, 1312, 1313, 1314, 1315, 1316, 1317, 1318, 1319, 1320, 1321, 1322, 1323, 1324, 1325, 1326, 1327, 1328, 1329, 1350, 1352, 1353, 1354, 1355, 1356, 1357, 1358, 1359, 1359, 1360, 1361, 1361, 1362, 1363, 1364, 1365, 1366, 1367, 1368, 1369, 1370, 1371, 1400, 1400, 1401, 1402, 1402, 1402, 1402, 1402, 1403, 1406, 1407, 1408, 1409, 1410, 1411, 1411, 1412, 1413, 1414, 1415, 1416, 1417, 1418, 1419, 1420, 1421, 1422, 1423, 1424, 1425, 1426, 1427, 1428, 1429, 1430, 1432, 1432, 1432, 1433, 1433, 1433, 1433, 1433, 1433, 1433, 1434, 1434, 1435, 1436, 1436, 1436, 1436, 1436, 1436, 1437, 1437, 1437, 1437, 1437, 1437, 1437, 1437, 1437, 1437, 1437, 1437, 1438, 1438, 1438, 1438, 1438, 1439, 1439, 1439, 1439, 1439, 1439, 1439, 1439, 1439, 1439, 1439, 1439, 1439, 1439, 1439, 1440, 1440, 1440, 1440, 1440, 1440, 1440, 1440, 1440, 1440, 1440, 1441, 1441, 1441, 1448, 1450, 1451, 1452, 1453, 1454, 1455, 1456, 1457, 1458, 1459, 1460, 1461, 1462, 1463, 1464, 1465, 1466, 1467, 1468, 1470, 1471, 1472, 1473, 1500, 1501, 1502, 1503, 1504, 1505, 1506, 1507, 1508, 1509, 1510, 1532, 1533, 1550, 1550, 1551, 1552, 1553, 1553, 1554, 1555, 1556, 1557, 1558, 1559, 1560, 1561, 1561, 1562, 1563, 1564, 1567, 1568, 1569, 1570, 1570, 1571, 1572, 1573, 1574, 1575, 1576, 1577, 1577, 1577, 1592, 1599, 1600, 1601, 1602, 1603, 1604, 1605, 1606, 1607, 1608, 1609, 1610, 1611, 1612, 1613, 1614, 1615, 1616, 1617, 1618, 1619, 1620, 1620, 1621, 1622, 1623, 1624, 1630, 1631, 1632, 1633, 1634, 1635, 1650, 1651, 1652, 1653, 1654, 1655, 1656, 1657, 1658, 1659, 1660, 1660, 1661, 1662, 1663, 1664, 1665, 1666, 1667, 1668, 1669, 1670, 1671, 1671, 1672, 1673, 1674, 1675, 1676, 1677, 1699, 1700, 1701, 1702, 1703, 1704, 1705, 1706, 1707, 1708, 1709, 1710, 1711, 1711, 1712, 1714, 1715, 1716, 1717, 1718, 1719, 1720, 1721, 1722, 1723, 1724, 1725, 1726, 1727, 1728, 1729, 1730, 1731, 1732, 1733, 1734, 1735, 1736, 1737, 1738, 1739, 1749, 1750, 1751, 1752, 1753, 1754, 1755, 1756, 1757, 1758, 1759, 1760, 1761, 1762, 1763, 1764, 1765, 1766, 1770, 1771, 1772, 1773, 1774, 1775, 1777, 1780, 1782, 1785, 1786, 1787, 1790, 1799, 1799, 1799, 1799, 1799, 1799, 1799, 1799, 1799, 1799, 1799, 1799, 2100, 2150, 2200, 2300, 2400, 2450;528208;539542;549050;559440;569557;580184;591481;602481;613288;623404;632340
147;Frederiksberg;1800, 1801, 1802, 1803, 1804, 1805, 1806, 1807, 1808, 1809, 1810, 1811, 1812, 1813, 1814, 1815, 1816, 1817, 1818, 1819, 1820, 1822, 1823, 1824, 1825, 1826, 1827, 1828, 1829, 1835, 1850, 1851, 1852, 1853, 1854, 1855, 1856, 1857, 1860, 1861, 1862, 1863, 1864, 1865, 1866, 1867, 1868, 1870, 1871, 1872, 1873, 1874, 1875, 1876, 1877, 1878, 1879, 1900, 1901, 1902, 1903, 1904, 1905, 1906, 1908, 1909, 1910, 1911, 1912, 1913, 1914, 1915, 1916, 1917, 1920, 1921, 1922, 1923, 1924, 1925, 1926, 1927, 1928, 1931, 1950, 1951, 1952, 1953, 1954, 1955, 1956, 1957, 1958, 1959, 1960, 1961, 1962, 1963, 1964, 1965, 1966, 1967, 1970, 1971, 1972, 1973, 1974, 2000;96718;98782;100215;102029;102717;103192;104481;105037;104410;103960;104305
151;Ballerup;2750;38760;38890;38893;39087;39244;39163;39004;39019;39173;39442;39528
151;Smørum;2765;8442;8487;8539;8607;8835;8825;8894;8925;8848;8756;8797
153;Brøndby;2605;33588;33824;33886;34010;34363;34799;35035;35367;35349;35219;34882
155;Søvang;2791;1713;1707;1694;1711;1688;1685;1723;1736;1752;1736;1739
155;Dragør;2791;11573;11721;11683;11874;11951;11941;12042;12132;12085;12124;12309
157;Gentofte;2820;71052;71714;72814;73360;74282;74932;75350;75805;75803;75176;74830
159;Gladsaxe;2860;64102;64951;65303;66030;66656;67347;67914;68767;69260;69512;69112
161;Glostrup;2600;21296;21384;21563;21805;22002;22278;22362;22449;22544;22509;23043
