CVR-nummer;Startdato;Ophørsdato;Navn;Adresse;Postnr.;By;Virksomhedsform;Hovedbranche;Telefonnr;Email;Reklamebeskyttet
36706333;07.04.2015;;Det Gamle Apotek A/S ;Hydrovej 5;6270;Tønder;Aktieselskab;464930 Engroshandel med kufferter og lædervarer;;;Nej
31896738;07.01.2009;;CAFÉ BLÅGÅRDS APOTEK ApS ;Blågårdsgade 20;2200;København;Anpartsselskab;563000 Cafeér, værtshuse, diskoteker mv.;35372442;bestyrer@kroteket.dk;Nej
28304641;22.12.2004;;DET BETTE APOTEK ApS ;Tolstrupvej 102;9700;Brønderslev;Anpartsselskab;999999 Uoplyst;;;Nej
34455287;29.02.2012;;SCT. PAULS APOTEK ApS ;Jægergårdsgade 76;8000;Aarhus;Anpartsselskab;563000 Cafeér, værtshuse, diskoteker mv.;;;Nej
71199428;26.07.1982;;RESTAURANT DET LILLE APOTEK ApS ;c/o Ingemann Pedersen -   Skættekæret 9  -  Øverød;2840;Holte;Anpartsselskab;561010 Restauranter;;;Nej
33044380;01.06.2011;;CAFÉ BLÅGÅRDS APOTEK VED HANS NIELSEN'S FOND ;Blågårdsgade 20 -  st.;2200;København;Erhvervsdrivende fond;999999 Uoplyst;;;Nej
35448934;01.09.2017;;Toftlund Apotek ;Søndergade 2;6520;Toftlund;Anden udenlandsk virksomhed;477300 Apoteker;74831333;toftlund@apoteket.dk;Nej
31241049;01.05.2008;;Haslev Apotek ;Jernbanegade 11;4690;Haslev;Enkeltmandsvirksomhed;477300 Apoteker;56312071;;Nej
36591285;20.04.2015;;Otterup apotek ;Nørregade 2;5450;Otterup;Enkeltmandsvirksomhed;477300 Apoteker;64821039;121bj@apoteket.dk;Nej
31652650;01.11.2008;;Stenlille Apotek ;Hovedgaden 48;4295;Stenlille;Enkeltmandsvirksomhed;477300 Apoteker;57804002;207bk@apoteket.dk;Ja
35423877;04.04.2014;;Ejby Apotek ;Algade 4;5592;Ejby;Enkeltmandsvirksomhed;477300 Apoteker;63465100;info@ejbyapotek.dk;Nej
63294128;01.12.1980;;SKANDERBORG APOTEK ;Adelgade 27;8660;Skanderborg;Enkeltmandsvirksomhed;477300 Apoteker;86520311;;Nej
36146826;01.12.2014;;Marselisborg Apotek ;Rundhøjtorvet 3;8270;Højbjerg;Enkeltmandsvirksomhed;477300 Apoteker;;marselisborg@apoteket.dk;Ja
18131277;01.12.1994;;Søborg Apotek/Buddinge Apotek ;Søborg Hovedgade 86;2860;Søborg;Enkeltmandsvirksomhed;477300 Apoteker;39560724;;Nej
37742740;23.05.2016;;Give Apotek ;Østergade 8A;7323;Give;Enkeltmandsvirksomhed;477300 Apoteker;75731544;give@apoteket.dk;Ja
36231645;01.04.2015;;Brønderslev Apotek ;Peder Møllers Plads 10;9700;Brønderslev;Enkeltmandsvirksomhed;477300 Apoteker;98821211;172pi@apoteket.dk;Nej
36231661;19.01.2015;;Struer Apotek ;Østergade 11;7600;Struer;Enkeltmandsvirksomhed;477300 Apoteker;97851052;hunnerup@c.dk;Ja
36128763;31.10.2014;;Farum Apotek ;Farum Bytorv 69;3520;Farum;Enkeltmandsvirksomhed;477300 Apoteker;44950239;vuralkocak@gmail.com;Ja
36333243;09.01.2015;;Åbyhøj Apotek ;Haslevej 17 -  st. 1.;8230;Åbyhøj;Enkeltmandsvirksomhed;477300 Apoteker;86158000;337lk@apoteket.dk;Ja
31230705;01.04.2008;;Frederikssund Apotek ;Nygade 1 -  1.;3600;Frederikssund;Enkeltmandsvirksomhed;477300 Apoteker;47310007;;Ja
37773239;01.06.2016;;Frederiksværk Apotek ;Nørregade 4;3300;Frederiksværk;Enkeltmandsvirksomhed;477300 Apoteker;47720007;amir@apoteket.dk;Ja
35938907;07.07.2014;;Borup Apotek ;Hovedgaden 15;4140;Borup;Enkeltmandsvirksomhed;477300 Apoteker;57526006;steffen.zederkof@mac.com;Ja
