TOT_P,GRD_ID,CNTR_CODE,METHD_CL,YEAR,DATA_SRC,TOT_P_CON_DT
2,1kmN3623E4468,DK,A,2011,DK,0
1,1kmN3623E4469,DK,A,2011,DK,0
3,1kmN3623E4470,DK,A,2011,DK,0
3,1kmN3624E4468,DK,A,2011,DK,0
7,1kmN3624E4469,DK,A,2011,DK,0
2,1kmN3614E4476,DK,A,2011,DK,0
1489,1kmN3615E4475,DK,A,2011,DK,0
1824,1kmN3615E4476,DK,A,2011,DK,0
2820,1kmN3615E4477,DK,A,2011,DK,0
216,1kmN3615E4478,DK,A,2011,DK,0
1152,1kmN3616E4474,DK,A,2011,DK,0
5342,1kmN3616E4475,DK,A,2011,DK,0
3648,1kmN3616E4476,DK,A,2011,DK,0
3963,1kmN3616E4477,DK,A,2011,DK,0
1470,1kmN3616E4478,DK,A,2011,DK,0
35,1kmN3617E4474,DK,A,2011,DK,0
794,1kmN3617E4475,DK,A,2011,DK,0
3492,1kmN3617E4476,DK,A,2011,DK,0
3811,1kmN3617E4477,DK,A,2011,DK,0
2366,1kmN3617E4478,DK,A,2011,DK,0
1184,1kmN3618E4475,DK,A,2011,DK,0
3778,1kmN3618E4476,DK,A,2011,DK,0
3522,1kmN3618E4477,DK,A,2011,DK,0
1063,1kmN3619E4475,DK,A,2011,DK,0
4399,1kmN3619E4476,DK,A,2011,DK,0
3401,1kmN3620E4476,DK,A,2011,DK,0
11,1kmN3613E4459,DK,A,2011,DK,0
22,1kmN3613E4460,DK,A,2011,DK,0
22,1kmN3614E4457,DK,A,2011,DK,0
101,1kmN3614E4458,DK,A,2011,DK,0
91,1kmN3614E4459,DK,A,2011,DK,0
19,1kmN3614E4460,DK,A,2011,DK,0
218,1kmN3615E4458,DK,A,2011,DK,0
383,1kmN3615E4459,DK,A,2011,DK,0
33,1kmN3616E4459,DK,A,2011,DK,0
366,1kmN3616E4463,DK,A,2011,DK,0
1168,1kmN3616E4464,DK,A,2011,DK,0
32,1kmN3617E4457,DK,A,2011,DK,0
42,1kmN3617E4458,DK,A,2011,DK,0
1290,1kmN3617E4459,DK,A,2011,DK,0
93,1kmN3617E4460,DK,A,2011,DK,0
207,1kmN3617E4461,DK,A,2011,DK,0
1601,1kmN3617E4463,DK,A,2011,DK,0
2669,1kmN3617E4464,DK,A,2011,DK,0
3978,1kmN3617E4465,DK,A,2011,DK,0
3477,1kmN3617E4466,DK,A,2011,DK,0
1214,1kmN3617E4467,DK,A,2011,DK,0
1494,1kmN3618E4458,DK,A,2011,DK,0
2635,1kmN3618E4459,DK,A,2011,DK,0
2515,1kmN3618E4460,DK,A,2011,DK,0
638,1kmN3618E4461,DK,A,2011,DK,0
1037,1kmN3618E4462,DK,A,2011,DK,0
1025,1kmN3618E4463,DK,A,2011,DK,0
5621,1kmN3618E4464,DK,A,2011,DK,0
3465,1kmN3618E4465,DK,A,2011,DK,0
3259,1kmN3618E4466,DK,A,2011,DK,0
841,1kmN3618E4467,DK,A,2011,DK,0
109,1kmN3619E4457,DK,A,2011,DK,0
1912,1kmN3619E4458,DK,A,2011,DK,0
591,1kmN3619E4459,DK,A,2011,DK,0
8,1kmN3619E4461,DK,A,2011,DK,0
4,1kmN3619E4462,DK,A,2011,DK,0
20,1kmN3619E4463,DK,A,2011,DK,0
17,1kmN3619E4464,DK,A,2011,DK,0
924,1kmN3619E4465,DK,A,2011,DK,0
1923,1kmN3619E4466,DK,A,2011,DK,0
61,1kmN3620E4457,DK,A,2011,DK,0
25,1kmN3620E4458,DK,A,2011,DK,0
32,1kmN3620E4460,DK,A,2011,DK,0
41,1kmN3620E4461,DK,A,2011,DK,0
23,1kmN3620E4462,DK,A,2011,DK,0
18,1kmN3620E4463,DK,A,2011,DK,0
37,1kmN3620E4464,DK,A,2011,DK,0
15,1kmN3620E4465,DK,A,2011,DK,0
6,1kmN3620E4466,DK,A,2011,DK,0
21,1kmN3621E4457,DK,A,2011,DK,0
96,1kmN3621E4458,DK,A,2011,DK,0
66,1kmN3621E4459,DK,A,2011,DK,0
20,1kmN3621E4460,DK,A,2011,DK,0
359,1kmN3621E4461,DK,A,2011,DK,0
331,1kmN3621E4462,DK,A,2011,DK,0
360,1kmN3621E4463,DK,A,2011,DK,0
18,1kmN3621E4464,DK,A,2011,DK,0
1,1kmN3621E4465,DK,A,2011,DK,0
28,1kmN3621E4466,DK,A,2011,DK,0
29,1kmN3622E4460,DK,A,2011,DK,0
170,1kmN3622E4461,DK,A,2011,DK,0
275,1kmN3622E4462,DK,A,2011,DK,0
114,1kmN3622E4463,DK,A,2011,DK,0
13,1kmN3622E4464,DK,A,2011,DK,0
263,1kmN3622E4465,DK,A,2011,DK,0
14,1kmN3622E4466,DK,A,2011,DK,0
2,1kmN3623E4461,DK,A,2011,DK,0
44,1kmN3623E4462,DK,A,2011,DK,0
15,1kmN3623E4463,DK,A,2011,DK,0
11,1kmN3623E4464,DK,A,2011,DK,0
43,1kmN3624E4462,DK,A,2011,DK,0
16,1kmN3624E4464,DK,A,2011,DK,0
3660,1kmN3631E4477,DK,A,2011,DK,0
3331,1kmN3631E4478,DK,A,2011,DK,0
2326,1kmN3632E4477,DK,A,2011,DK,0
3493,1kmN3632E4478,DK,A,2011,DK,0
1301,1kmN3632E4479,DK,A,2011,DK,0
359,1kmN3632E4480,DK,A,2011,DK,0
45,1kmN3633E4474,DK,A,2011,DK,0
1347,1kmN3633E4475,DK,A,2011,DK,0
2708,1kmN3633E4476,DK,A,2011,DK,0
809,1kmN3633E4477,DK,A,2011,DK,0
