,ApotekNr,Navn,TypeID,Adresse,PostNr,Startdato,Slutdato,amt,Kommune,Region,Adresse_v2,latitudes,longitudes,Stdato,Sldato,Styear,Slyear,dummy,geometry
0,359,Albertslund Apotek,6,Bytorvet 5,2620.0,"01Jan1966 0:00:00,000",,1084.0,165.0,1084.0,"Bytorvet 5, 2620 Denmark",55.656514,12.353695,1966-01-01,,1966.0,,2008.0,POINT (12.353695 55.656514)
2,346-1,Allerød Apotek,7,Allerød Stationsvej 9,3450.0,07.03.2008,,1084.0,201.0,1084.0,"Allerød Stationsvej 9, 3450 Denmark",55.871124,12.355782000000001,2008-07-03,,2008.0,,2008.0,POINT (12.355782 55.871124)
3,082-1,Allinge Apotek,7,Kirkegade 13,3770.0,"01May2016 0:00:00,000",,1084.0,400.0,1084.0,"Kirkegade 13, 3770 Denmark",55.277122999999996,14.802304000000001,2016-05-01,,2016.0,,2016.0,POINT (14.802304 55.277123)
5,243-1,Amager Strand Apotek,7,Strandlodsvej 41,2300.0,"21Sep2015 0:00:00,000",,1084.0,101.0,1084.0,"Strandlodsvej 41, 2300 Denmark",55.664181000000006,12.622773,2015-09-21,,2015.0,,2015.0,POINT (12.622773 55.66418100000001)
6,022-1,Antvorskov Apotek,7,Idagårdsvej 1,4200.0,"01Jun2018 0:00:00,000",,1085.0,330.0,1085.0,"Idagårdsvej 1, 4200 Denmark",55.390492,11.355228,2018-06-01,,2018.0,,2018.0,POINT (11.355228 55.390492)
7,411,Apopro Online Apotek,6,Ventrupvej 27,2670.0,"15Jun2017 0:00:00,000",,1085.0,253.0,1085.0,"Ventrupvej 27, 2670 Denmark",55.593029,12.264778999999999,2017-06-15,,2017.0,,2017.0,POINT (12.264779 55.593029)
8,090-7,Apotek Borups Alle,7,Borups Alle 116 st. tv.,2000.0,"12Nov2018 0:00:00,000",,1084.0,147.0,1084.0,"Borups Alle 116 st. tv., 2000 Denmark",55.6794,12.5346,2018-11-12,,2018.0,,2018.0,POINT (12.5346 55.6794)
9,090-1,Apotek Fisketorvet,7,"Fisketorvet, Kalvebod Brygge 59",1561.0,"01Aug2015 0:00:00,000",,1084.0,101.0,1084.0,"Fisketorvet, Kalvebod Brygge 59, 1561 Denmark",55.6759,12.5655,2015-08-01,,2015.0,,2015.0,POINT (12.5655 55.6759)
10,090-3,Apotek Humletorvet,7,Humletorvet 23,1799.0,"01Nov2016 0:00:00,000",,1084.0,101.0,1084.0,"Humletorvet 23, 1799 Denmark",55.664466000000004,12.536175,2016-11-01,,2016.0,,2016.0,POINT (12.536175 55.664466)
12,090-2,Apotek Spinderiet,7,Valby Torvegade 13,2500.0,"02May2016 0:00:00,000",,1084.0,101.0,1084.0,"Valby Torvegade 13, 2500 Denmark",55.6647453,12.511668199999999,2016-05-02,,2016.0,,2016.0,POINT (12.5116682 55.6647453)
