,Unnamed: 0,ApotekNr,Navn,TypeID,Adresse,PostNr,Startdato,Slutdato,amt,Kommune,Region,Adresse_v2,latitudes,longitudes,dato,year,dummy,Stdato,Sldato,Styear,Slyear,geometry,test
0,0,359,Albertslund Apotek,6,Bytorvet 5,2620.0,01Jan1966 0:00:00.000,,1084.0,165.0,1084.0,"Bytorvet 5, 2620 Denmark",55.656514,12.353695,1966-01-01,1966.0,2008.0,1966-01-01,,1966.0,,POINT (12.353695 55.656514),0.0
1,1,346-1,Allerød Apotek,7,Allerød Stationsvej 9,3450.0,,,1084.0,201.0,1084.0,"Allerød Stationsvej 9, 3450 Denmark",55.871124,12.355782000000001,,,2008.0,,,,,POINT (12.355782 55.871124),0.21462014739767601
2,2,082-1,Allinge Apotek,7,Kirkegade 13,3770.0,01May2016 0:00:00.000,,1084.0,400.0,1084.0,"Kirkegade 13, 3770 Denmark",55.277122999999996,14.802304000000001,2016-05-01,2016.0,2016.0,2016-05-01,,2016.0,,POINT (14.802304 55.277123),2.4778263792610673
3,3,175,Allinge Apotek,6,Kirkegade 13,3770.0,01-01-1898 00:00,01May2016 0:00:00.000,1084.0,400.0,1084.0,"Kirkegade 13, 3770 Denmark",55.277122999999996,14.802304000000001,1898-01-01,1898.0,2008.0,1898-01-01,2016-05-01,1898.0,2016.0,POINT (14.802304 55.277123),2.4778263792610673
4,4,243-1,Amager Strand Apotek,7,Strandlodsvej 41,2300.0,21Sep2015 0:00:00.000,,1084.0,101.0,1084.0,"Strandlodsvej 41, 2300 Denmark",55.664181000000006,12.622773,2015-09-21,2015.0,2015.0,2015-09-21,,2015.0,,POINT (12.622773 55.66418100000001),0.26918720804117025
5,5,022-1,Antvorskov Apotek,7,Idagårdsvej 1,4200.0,01Jun2018 0:00:00.000,,1085.0,330.0,1085.0,"Idagårdsvej 1, 4200 Denmark",55.390492,11.355228,2018-06-01,2018.0,2018.0,2018-06-01,,2018.0,,POINT (11.355228 55.390492),1.0332976601991313
6,6,411,Apopro Online Apotek,6,Ventrupvej 27,2670.0,15Jun2017 0:00:00.000,,1085.0,253.0,1085.0,"Ventrupvej 27, 2670 Denmark",55.593029,12.264778999999999,2017-06-15,2017.0,2017.0,2017-06-15,,2017.0,,POINT (12.264779 55.593029),0.10925383417070633
7,7,090-7,Apotek Borups Alle,7,Borups Alle 116 st. tv.,2000.0,12Nov2018 0:00:00.000,,1084.0,147.0,1084.0,"Borups Alle 116 st. tv., 2000 Denmark",55.6794,12.5346,2018-11-12,2018.0,2018.0,2018-11-12,,2018.0,,POINT (12.5346 55.6794),0.18234688925506706
8,8,090-1,Apotek Fisketorvet,7,"Fisketorvet, Kalvebod Brygge 59",1561.0,01Aug2015 0:00:00.000,,1084.0,101.0,1084.0,"Fisketorvet, Kalvebod Brygge 59, 1561 Denmark",55.6759,12.5655,2015-08-01,2015.0,2015.0,2015-08-01,,2015.0,,POINT (12.5655 55.6759),0.21269032658068843
9,9,090-3,Apotek Humletorvet,7,Humletorvet 23,1799.0,01Nov2016 0:00:00.000,,1084.0,101.0,1084.0,"Humletorvet 23, 1799 Denmark",55.664466000000004,12.536175,2016-11-01,2016.0,2016.0,2016-11-01,,2016.0,,POINT (12.536175 55.664466),0.18265318147790374
10,10,090-6,Apotek Illum,7,Østergade 52,1001.0,03Sep2018 0:00:00.000,25Aug2019 0:00:00.000,1084.0,101.0,1084.0,"Østergade 52, 1001 Denmark",55.67926800000001,12.580689999999999,2018-09-03,2018.0,2018.0,2018-09-03,2019-08-25,2018.0,2019.0,POINT (12.58069 55.67926800000001),0.2281325810597857
11,11,090-2,Apotek Spinderiet,7,Valby Torvegade 13,2500.0,02May2016 0:00:00.000,,1084.0,101.0,1084.0,"Valby Torvegade 13, 2500 Denmark",55.6647453,12.511668199999999,2016-05-02,2016.0,2016.0,2016-05-02,,2016.0,,POINT (12.5116682 55.6647453),0.15818750335576334
12,12,090-8,Apotek Strøget,7,Frederiksberggade 1A,1459.0,02Sep2019 0:00:00.000,,1084.0,101.0,1084.0,"Frederiksberggade 1A, 1459 Denmark",55.677616,12.572097,2019-09-02,2019.0,2019.0,2019-09-02,,2019.0,,POINT (12.572097 55.677616),0.21941906938094433
13,13,090-4,Apotek Vesterbro,7,Vesterbrogade 60,1620.0,13Feb2017 0:00:00.000,,1084.0,101.0,1084.0,"Vesterbrogade 60, 1620 Denmark",55.6727,12.553288,2017-02-13,2017.0,2017.0,2017-02-13,,2017.0,,POINT (12.553288 55.6727),0.20024822657142305
14,14,090-5,Apotek Ørsted,7,H.C. Ørsteds Vej 38,1879.0,01Aug2017 0:00:00.000,,1084.0,147.0,1084.0,"H.C. Ørsteds Vej 38, 1879 Denmark",55.68005,12.548711,2017-08-01,2017.0,2017.0,2017-08-01,,2017.0,,POINT (12.548711 55.68005),0.1964311165574342
15,15,285-2,Apoteket Borgen,7,"Kastanie Allé 3, st., dør 30",6400.0,29Sep2016 0:00:00.000,,1083.0,540.0,1083.0,"Kastanie Allé 3, st., dør 30, 6400 Denmark",54.9093,9.8074,2016-09-29,2016.0,2016.0,2016-09-29,,2016.0,,POINT (9.807399999999999 54.9093),2.653666706431123
16,16,123-2,Apoteket Dalumcentret,7,Dalumvej 46,5250.0,21Sep2017 0:00:00.000,,1083.0,461.0,1083.0,"Dalumvej 46, 5250 Denmark",55.370692000000005,10.372561,2017-09-21,2017.0,2017.0,2017-09-21,,2017.0,,POINT (10.372561 55.37069200000001),2.0016458581976986
17,17,079-2,Apoteket Egevangen,7,Egevangen 8,2980.0,01Sep2015 0:00:00.000,,1084.0,210.0,1084.0,"Egevangen 8, 2980 Denmark",55.906141000000005,12.474946000000001,2015-09-01,2015.0,2015.0,2015-09-01,,2015.0,,POINT (12.474946 55.90614100000001),0.27751656550556064
18,18,111-1,Apoteket Frederiksberg Centret,7,Falkoner Alle 21,2000.0,01Dec2017 0:00:00.000,,1084.0,147.0,1084.0,"Falkoner Alle 21, 2000 Denmark",55.681463,12.534059,2017-12-01,2017.0,2017.0,2017-12-01,,2017.0,,POINT (12.534059 55.681463),0.18208136943959874
