Startdato;Ophørsdato;Navn;Adresse;Postnr.;By;Hovedbranche;Navn_lille
07.03.2008;;Allerød Apotek;Allerød Stationsvej 9;3450;Allerød;477300 Apoteker;allerød apotek
01.04.2008;31.05.2010;Allerød Apotek;Mølcks Passage 5;3450;Allerød;477300 Apoteker;allerød apotek
01.01.1992;31.03.2008;ALLERØD APOTEK;Mølcks Passage 5;3450;Allerød;477300 Apoteker;allerød apotek
01.01.1992;30.06.2020;APOTEKSUDSALG ØST;Fredskovhellet 1;3400;Hillerød;477300 Apoteker;apoteksudsalg øst
01.01.2001;31.12.2010;Assentoft Apoteksudsalg;Storegade 55  -  Assentoft;8960;Randers;477300 Apoteker;assentoft apoteksudsalg
29.12.2009;;Auning Apotek;Centervej 4B;8963;Auning;477300 Apoteker;auning apotek
01.01.2000;10.07.2014;Beder Apoteksudsalg;Byvej 2;8330;Beder;477300 Apoteker;beder apoteksudsalg
01.01.1992;24.08.2006;BILLUND APOTEKSUDSALG;Butikstorvet 3;7190;Billund;523100 Apoteker;billund apoteksudsalg
01.01.2000;04.05.2017;Bredballe Apoteksudsalg;Bredballe Center 23;7120;Vejle;477300 Apoteker;bredballe apoteksudsalg
01.06.2017;31.12.2017;Bredballe Apoteksudsalg;c/o Vejle Gorms Apotek -   Bredballe Center 23;7120;Vejle;477300 Apoteker;bredballe apoteksudsalg
01.01.1992;;BROAGER APOTEK;Allegade 5;6310;Broager;477300 Apoteker;broager apotek
01.06.2016;;Brøndby Strand Apotek;Brøndby Strand Centrum 16;2660;Brøndby;477300 Apoteker;brøndby strand apotek
01.01.1992;26.08.2016;BRØNDBY STRAND APOTEK;Brøndby Strand Centrum 16;2660;Brøndby;477300 Apoteker;brøndby strand apotek
02.03.2009;;Bøvlingbjerg Apotek;Fårevej 143;7650;Bøvlingbjerg;477300 Apoteker;bøvlingbjerg apotek
19.11.1979;01.03.2009;BØVLINGBJERG APOTEK;Prins Buris Vej 45A  -  Mejdal;7500;Holstebro;477300 Apoteker;bøvlingbjerg apotek
01.06.2008;;Christiansfeld Apotek;Lindegade 21;6070;Christiansfeld;477300 Apoteker;christiansfeld apotek
19.11.1979;31.12.2008;CHRISTIANSFELD APOTEK;Lindegade 21;6070;Christiansfeld;477300 Apoteker;christiansfeld apotek
01.11.2008;;Dianalund Apotek;Torvet 5;4293;Dianalund;477300 Apoteker;dianalund apotek
01.01.1992;16.10.2009;DIANALUND APOTEK;Torvet 8;4293;Dianalund;477300 Apoteker;dianalund apotek
01.10.2011;29.01.2012;Egå Apoteksudsalg;Muslingevej 10;8250;Egå;477300 Apoteker;egå apoteksudsalg
01.01.2000;12.09.2011;Egå Apoteksudsalg;Egå Havvej 2A;8250;Egå;477300 Apoteker;egå apoteksudsalg
01.03.2008;;Fanø Apotek;Hovedgaden 64;6720;Fanø;477300 Apoteker;fanø apotek
01.01.1992;29.02.2008;FANØ APOTEK;Hovedgaden 84  -  Nordby;6720;Fanø;477300 Apoteker;fanø apotek
01.01.1992;;FREDENSBORG APOTEK;Jernbanegade 3;3480;Fredensborg;477300 Apoteker;fredensborg apotek
18.07.2008;18.07.2009;Glamsbjerg Apoteksudsalg;Søndergade 25;5620;Glamsbjerg;477300 Apoteker;glamsbjerg apoteksudsalg
25.02.2015;;Gram Apotek;Torvet 4;6510;Gram;477300 Apoteker;gram apotek
01.01.1992;22.06.2015;GRAM APOTEK;Torvet 3;6510;Gram;477300 Apoteker;gram apotek
01.01.1992;;GRÆSTED APOTEKSUDSALG;Græsted Hovedgade 8;3230;Græsted;477300 Apoteker;græsted apoteksudsalg
01.04.2003;;Guderup Apoteksudsalg;Mosevej 1  -  Guderup;6430;Nordborg;477300 Apoteker;guderup apoteksudsalg
01.01.1991;;GØRLEV APOTEK;Algade 29;4281;Gørlev;477300 Apoteker;gørlev apotek
23.01.2019;;Hammershøj Apotek;Randersvej 8;8830;Tjele;477300 Apoteker;hammershøj apotek
01.01.1992;;HAMMERSHØJ APOTEK;Randersvej 8  -  Hammershøj;8830;Tjele;477300 Apoteker;hammershøj apotek
01.01.1992;;Hanstholm Apoteksudsalg;Bytorvet 20;7730;Hanstholm;477300 Apoteker;hanstholm apoteksudsalg
01.01.2000;30.03.2015;Hasle Apoteksudsalg;Viborgvej 150  -  Hasle;8210;Aarhus;477300 Apoteker;hasle apoteksudsalg
01.01.2020;;Hedehusene Apotek;Hovedgaden 421;2640;Hedehusene;477300 Apoteker;hedehusene apotek
01.01.1992;;HEDEHUSENE APOTEK;Hovedgaden 421;2640;Hedehusene;477300 Apoteker;hedehusene apotek
01.01.2001;24.02.2013;Hjallerup Apoteksudsalg;Søndergade 6;9320;Hjallerup;477300 Apoteker;hjallerup apoteksudsalg
01.01.2000;25.03.2014;Hjallese Apoteksudsalg;Odensevej 18B  -  Hjallese;5260;Odense;477300 Apoteker;hjallese apoteksudsalg
01.01.1992;;HORNBÆK APOTEK;Sauntevej 2;3100;Hornbæk;477300 Apoteker;hornbæk apotek
01.05.2015;;Hornsyld Apoteksudsalg;Apotekerbakken 23;8783;Hornsyld;477300 Apoteker;hornsyld apoteksudsalg
01.03.2008;;Hovedgård Apotek;Ørridslevvej 1;8732;Hovedgård;477300 Apoteker;hovedgård apotek
01.01.1992;29.02.2008;HOVEDGÅRD APOTEK;Horsensvej 5;8732;Hovedgård;477300 Apoteker;hovedgård apotek
01.09.2016;;Humble Apotek;Hovedgaden 2;5932;Humble;477300 Apoteker;humble apotek
01.11.2019;;Hundested Apotek;Nørregade 54C;3390;Hundested;477300 Apoteker;hundested apotek
01.01.1992;31.12.2019;HUNDESTED APOTEK;Nørregade 54;3390;Hundested;477300 Apoteker;hundested apotek
01.01.2000;;Hvide Sande Apoteksudsalg;Parallelvej 60;6960;Hvide;477300 Apoteker;hvide sande apoteksudsalg
01.07.2013;;Høruphav Apoteksudsalg;Søndre Landevej 222;6470;Sydals;477300 Apoteker;høruphav apoteksudsalg
01.01.1992;30.06.2013;HØRUPHAV APOTEKSUDSALG;Søndre Landevej 214  -  Høruphav;6470;Sydals;477300 Apoteker;høruphav apoteksudsalg
01.05.1994;31.07.2009;HAARBY APOTEK;Algade 33;5683;Haarby;477300 Apoteker;haarby apotek
24.07.2010;;Haarlev apoteksudsalg;Hovedgaden 29;4652;Hårlev;477300 Apoteker;haarlev apoteksudsalg
01.01.2000;01.05.2019;Jelling Apoteksudsalg;Gormsgade 17;7300;Jelling;477300 Apoteker;jelling apoteksudsalg
07.04.2009;;Kibæk Apoteksudsalg;Nr. Bredgade 11;6933;Kibæk;477300 Apoteker;kibæk apoteksudsalg
15.09.2018;;Kløver Apoteket Østbirk;H C Andersensvej 2A;8752;Østbirk;477300 Apoteker;kløver apoteket østbirk
01.01.2000;;Kongevejens Apoteksudsalg;Usserød Kongevej 65B;2970;Hørsholm;477300 Apoteker;kongevejens apoteksudsalg
01.01.2000;31.12.2010;Kristrup Apoteksudsalg;Kristrupvej 60A;8960;Randers;477300 Apoteker;kristrup apoteksudsalg
01.01.1992;03.04.2011;LANGESKOV APOTEKSUDSALG;Langeskov Centret 6;5550;Langeskov;477300 Apoteker;langeskov apoteksudsalg
01.10.2016;;Lundby Apotek;Lundby Hovedgade 90;4750;Lundby;477300 Apoteker;lundby apotek
01.01.1992;30.06.2009;LUNDERSKOV APOTEKSUDSALG;Storegade 2;6640;Lunderskov;477300 Apoteker;lunderskov apoteksudsalg
01.07.2008;22.06.2015;Lunderskov apoteksudsalg;Storegade 2;6640;Lunderskov;477300 Apoteker;lunderskov apoteksudsalg
11.04.2016;;Lyngby Løve Apotek;Jernbanepladsen 43;2800;Kgs.;477300 Apoteker;lyngby løve apotek
01.01.2000;10.03.2017;Lynge Apoteksudsalg;Lynge Bytorv 9;3540;Lynge;477300 Apoteker;lynge apoteksudsalg
01.09.2013;;Løkken Apotek;Jyllandsgade 13;9480;Løkken;477300 Apoteker;løkken apotek
01.03.1994;30.06.2012;LØKKEN APOTEK;Jyllandsgade 13;9480;Løkken;477300 Apoteker;løkken apotek
07.01.2010;31.08.2013;Løkken apotek;Jyllandsgade 13;9480;Løkken;477300 Apoteker;løkken apotek
15.01.2012;;Mariager Apotek;Østergade 10;9550;Mariager;477300 Apoteker;mariager apotek
12.10.2007;31.08.2012;Mariager Apotek;Fuglsangsgade 16;9550;Mariager;477300 Apoteker;mariager apotek
01.01.1970;31.12.2007;MARIAGER APOTEK;Falkevej 1;9500;Hobro;523100 Apoteker;mariager apotek
01.01.1992;;Mols Apoteksudsalg;Knebel Bygade 21;8420;Knebel;477300 Apoteker;mols apoteksudsalg
05.11.2001;31.12.2001;Mols Apoteksudsalg;Bygaden 21;8420;Knebel;523100 Apoteker;mols apoteksudsalg
01.12.2014;;Mårslet Apoteksudsalg;c/o Marselisborg Apotek -   Hørretvej 12;8320;Mårslet;477300 Apoteker;mårslet apoteksudsalg
01.01.2000;10.07.2014;Mårslet Apoteksudsalg;Hørretvej 12;8320;Mårslet;477300 Apoteker;mårslet apoteksudsalg
21.03.2014;;Neptun Apotek Sædding;Fyrvej 34;6710;Esbjerg;477300 Apoteker;neptun apotek sædding
01.01.1992;;NIVÅ APOTEK;Nivå Center 75;2990;Nivå;477300 Apoteker;nivå apotek
