VAR1,ApotekNr,Navn,TypeID,Adresse,PostNr,Startdato,Slutdato,amt,Kommune,Region,Adresse_v2,latitudes,longitudes,Stdato,Sldato,Styear,Slyear,dummy,geometry,Year
5,243-1,Amager Strand Apotek,7,Strandlodsvej 41,2300,"21Sep2015 0:00:00,000",,1084,101,1084,"Strandlodsvej 41, 2300 Denmark",55.664181,12.622773,2015-09-21,,2015,2025,2015,POINT (12.622773 55.664181),2020
9,090-1,Apotek Fisketorvet,7,"Fisketorvet, Kalvebod Brygge 59",1561,"01Aug2015 0:00:00,000",,1084,101,1084,"Fisketorvet, Kalvebod Brygge 59, 1561 Denmark",55.6759,12.5655,2015-08-01,,2015,2025,2015,POINT (12.5655 55.6759),2020
10,090-3,Apotek Humletorvet,7,Humletorvet 23,1799,"01Nov2016 0:00:00,000",,1084,101,1084,"Humletorvet 23, 1799 Denmark",55.664466,12.536175,2016-11-01,,2016,2025,2016,POINT (12.536175 55.664466),2020
12,090-2,Apotek Spinderiet,7,Valby Torvegade 13,2500,"02May2016 0:00:00,000",,1084,101,1084,"Valby Torvegade 13, 2500 Denmark",55.6647453,12.5116682,2016-05-02,,2016,2025,2016,POINT (12.5116682 55.6647453),2020
13,090-8,Apotek Strøget,7,Frederiksberggade 1A,1459,"02Sep2019 0:00:00,000",,1084,101,1084,"Frederiksberggade 1A, 1459 Denmark",55.677616,12.572097,2019-09-02,,2019,2025,2019,POINT (12.572097 55.677616),2020
14,090-4,Apotek Vesterbro,7,Vesterbrogade 60,1620,"13Feb2017 0:00:00,000",,1084,101,1084,"Vesterbrogade 60, 1620 Denmark",55.6727,12.553288,2017-02-13,,2017,2025,2017,POINT (12.553288 55.6727),2020
28,184-1,Apoteket Jernbane All,7,Jernbane Allé 31,2720,"01Jul2019 0:00:00,000",,1084,101,1084,"Jernbane Allé 31, 2720 Denmark",55.686102,12.491235,2019-07-01,,2019,2025,2019,POINT (12.491235 55.686102),2020
95,341-4,Brønshøj Apotek,7,Højenhald 2,2700,"29Apr2016 0:00:00,000",,1084,101,1084,"Højenhald 2, 2700 Denmark",55.705346,12.507615,2016-04-29,,2016,2025,2016,POINT (12.507615 55.705346),2020
137,029-2,Fields Apotek,7,Arne Jacobsens Allé 12,2300,"20Jul2015 0:00:00,000",,1084,101,1084,"Arne Jacobsens Allé 12, 2300 Denmark",55.6305777,12.5767812,2015-07-20,,2015,2025,2015,POINT (12.5767812 55.6305777),2020
188,323-2,Gyldenrisparkens Apot,7,Amagerbrogade 264,2300,"01Sep2015 0:00:00,000",,1084,101,1084,"Amagerbrogade 264, 2300 Denmark",55.642544,12.615792,2015-09-01,,2015,2025,2015,POINT (12.615792 55.642544),2020
266,183-1,Hovedbanens Apotek,7,Bernstorffsgade 16,1577,"04Sep2017 0:00:00,000",,1084,101,1084,"Bernstorffsgade 16, 1577 Denmark",55.6726833,12.5641888,2017-09-04,,2017,2025,2017,POINT (12.5641888 55.6726833),2020
