VAR1,ApotekNr,Navn,TypeID,Adresse,PostNr,Startdato,Slutdato,amt,Kommune,Region,Adresse_v2,latitudes,longitudes,Stdato,Sldato,Styear,Slyear,dummy,geometry,Year,GNS_OMS,GNS_MED_PROFIT,ALDER,d65,d17,samlet_ind,Besk,Besk1864,DK,Befolkning,markedsvaerdix,yderkom
348,243,København Amagerbro,6,Reberbanegade 3,2300,"01Jan1913 0:00:00,000",,1084,101,1084,"Reberbanegade 3, 2300 Denmark",55.662829,12.603788,1913-01-01,,1913,2025,2008,POINT (12.603788 55.662829),2014,23410001.339,7184684.1496,35.38,0.1031689947,0.176223405,197587.11111,0.5303388905,0.7076974504,0.7706745732,580184,1677658.1159,0
349,341,København Apoteket R,6,Tuborgvej 269,2400,"01Jan1935 0:00:00,000",,1084,101,1084,"Tuborgvej 269, 2400 Denmark",55.71175,12.53244,1935-01-01,,1935,2025,2008,POINT (12.53244 55.71175),2014,23410001.339,7184684.1496,35.38,0.1031689947,0.176223405,197587.11111,0.5303388905,0.7076974504,0.7706745732,580184,1677658.1159,0
352,242,København Apoteket S,6,Nørrebrogade 224,2200,"01Jan1913 0:00:00,000",,1084,101,1084,"Nørrebrogade 224, 2200 Denmark",55.700139,12.540203,1913-01-01,,1913,2025,2008,POINT (12.540203 55.700139),2014,23410001.339,7184684.1496,35.38,0.1031689947,0.176223405,197587.11111,0.5303388905,0.7076974504,0.7706745732,580184,1677658.1159,0
353,232,København Apoteket T,6,Ndr. Frihavnsgade 3,2100,"01Jan1909 0:00:00,000",,1084,101,1084,"Ndr. Frihavnsgade 3, 2100 Denmark",55.700024,12.578069,1909-01-01,,1909,2025,2008,POINT (12.578069 55.700024),2014,23410001.339,7184684.1496,35.38,0.1031689947,0.176223405,197587.11111,0.5303388905,0.7076974504,0.7706745732,580184,1677658.1159,0
358,029,København Christians,6,Torvegade 47,1400,01-01-1753 00:00,,1084,101,1084,"Torvegade 47, 1400 Denmark",55.672344,12.591926,1753-01-01,,1753,2025,2008,POINT (12.591926 55.672344),2014,23410001.339,7184684.1496,35.38,0.1031689947,0.176223405,197587.11111,0.5303388905,0.7076974504,0.7706745732,580184,1677658.1159,0
361,309,København Enghave Ap,13,Enghave Plads 25,1670,"01Jan1922 0:00:00,000",,1084,101,1084,"Enghave Plads 25, 1670 Denmark",55.666133,12.544116,1922-01-01,,1922,2025,2008,POINT (12.544116 55.666133),2014,23410001.339,7184684.1496,35.38,0.1031689947,0.176223405,197587.11111,0.5303388905,0.7076974504,0.7706745732,580184,1677658.1159,0
367,334,København Grøndalsa,13,Godthåbsvej 187A,2720,"01Jan1935 0:00:00,000",,1084,101,1084,"Godthåbsvej 187A, 2720 Denmark",55.6908748,12.5159263,1935-01-01,,1935,2025,2008,POINT (12.5159263 55.6908748),2014,23410001.339,7184684.1496,35.38,0.1031689947,0.176223405,197587.11111,0.5303388905,0.7076974504,0.7706745732,580184,1677658.1159,0
371,341-2,København Hamlets Ap,7,Hamletsgade 2,2200,"01Jun2009 0:00:00,000",,1084,101,1084,"Hamletsgade 2, 2200 Denmark",55.703088,12.547708,2009-06-01,,2009,2025,2009,POINT (12.547708 55.703088),2014,23410001.339,7184684.1496,35.38,0.1031689947,0.176223405,197587.11111,0.5303388905,0.7076974504,0.7706745732,580184,1677658.1159,0
374,322,København Husum Apot,6,Frederikssundsvej 320,2700,"01Jan1929 0:00:00,000",,1084,101,1084,"Frederikssundsvej 320, 2700 Denmark",55.711998,12.47255,1929-01-01,,1929,2025,2008,POINT (12.47255 55.711998),2014,23410001.339,7184684.1496,35.38,0.1031689947,0.176223405,197587.11111,0.5303388905,0.7076974504,0.7706745732,580184,1677658.1159,0
375,029-1,København Islands Br,7,Islands Brygge 3-5,2300,"01Feb2003 0:00:00,000",,1084,101,1084,"Islands Brygge 3-5, 2300 Denmark",55.6695424,12.5797902,2003-02-01,,2003,2025,2008,POINT (12.5797902 55.6695424),2014,23410001.339,7184684.1496,35.38,0.1031689947,0.176223405,197587.11111,0.5303388905,0.7076974504,0.7706745732,580184,1677658.1159,0
379,021,København Kongelig H,6,Store Kongensgade 45,1264,01-01-1753 00:00,,1084,101,1084,"Store Kongensgade 45, 1264 Denmark",55.683269,12.586637,1753-01-01,,1753,2025,2008,POINT (12.586637 55.683269),2014,23410001.339,7184684.1496,35.38,0.1031689947,0.176223405,197587.11111,0.5303388905,0.7076974504,0.7706745732,580184,1677658.1159,0
382,338,København Linde Apot,6,Frederikssundsvej 152,2700,"01Jan1937 0:00:00,000",,1084,101,1084,"Frederikssundsvej 152, 2700 Denmark",55.704659,12.500087,1937-01-01,,1937,2025,2008,POINT (12.500087 55.704659),2014,23410001.339,7184684.1496,35.38,0.1031689947,0.176223405,197587.11111,0.5303388905,0.7076974504,0.7706745732,580184,1677658.1159,0
384,090,København Nørrebro,6,Nørrebrogade 8,2200,01-01-1843 00:00,,1084,101,1084,"Nørrebrogade 8, 2200 Denmark",55.687462,12.56233,1843-01-01,,1843,2025,2008,POINT (12.56233 55.687462),2014,23410001.339,7184684.1496,35.38,0.1031689947,0.176223405,197587.11111,0.5303388905,0.7076974504,0.7706745732,580184,1677658.1159,0
389,134,København Sct. Stefa,13,Nørrebrogade 140,2200,01-01-1881 00:00,,1084,101,1084,"Nørrebrogade 140, 2200 Denmark",55.694695,12.548836,1881-01-01,,1881,2025,2008,POINT (12.548836 55.694695),2014,23410001.339,7184684.1496,35.38,0.1031689947,0.176223405,197587.11111,0.5303388905,0.7076974504,0.7706745732,580184,1677658.1159,0
392,183,København Steno Apot,6,Vesterbrogade 6 C,1620,"01Jan1900 0:00:00,000",,1084,101,1084,"Vesterbrogade 6 C, 1620 Denmark",55.6726557,12.550866,1900-01-01,,1900,2025,2008,POINT (12.550866 55.6726557),2014,23410001.339,7184684.1496,35.38,0.1031689947,0.176223405,197587.11111,0.5303388905,0.7076974504,0.7706745732,580184,1677658.1159,0
397,332,København Sydhavnsap,13,Borgbjergsvej 15,2450,"01Jan1933 0:00:00,000",,1084,101,1084,"Borgbjergsvej 15, 2450 Denmark",55.651462,12.537598,1933-01-01,,1933,2025,2008,POINT (12.537598 55.651462),2014,23410001.339,7184684.1496,35.38,0.1031689947,0.176223405,197587.11111,0.5303388905,0.7076974504,0.7706745732,580184,1677658.1159,0
399,199,København Sønderbro,6,Amagerbrogade 158,2300,"01Jan1902 0:00:00,000",,1084,101,1084,"Amagerbrogade 158, 2300 Denmark",55.654731,12.610199,1902-01-01,,1902,2025,2008,POINT (12.610199 55.654731),2014,23410001.339,7184684.1496,35.38,0.1031689947,0.176223405,197587.11111,0.5303388905,0.7076974504,0.7706745732,580184,1677658.1159,0
400,318,København Trekroner,6,Vigerslev Allé 38,2500,"01Jan1925 0:00:00,000",,1084,101,1084,"Vigerslev Allé 38, 2500 Denmark",55.661884,12.518641,1925-01-01,,1925,2025,2008,POINT (12.518641 55.661884),2014,23410001.339,7184684.1496,35.38,0.1031689947,0.176223405,197587.11111,0.5303388905,0.7076974504,0.7706745732,580184,1677658.1159,0
401,031,København Vaisenhus,13,Landemærket 3-5,1119,01-01-1753 00:00,,1084,101,1084,"Landemærket 3-5, 1119 Denmark",55.6827864,12.5776629,1753-01-01,,1753,2025,2008,POINT (12.5776629 55.6827864),2014,23410001.339,7184684.1496,35.38,0.1031689947,0.176223405,197587.11111,0.5303388905,0.7076974504,0.7706745732,580184,1677658.1159,0
402,197,København Valby Apot,6,Valby Langgade 49,2500,"01Jan1902 0:00:00,000",,1084,101,1084,"Valby Langgade 49, 2500 Denmark",55.666526,12.516945,1902-01-01,,1902,2025,2008,POINT (12.516945 55.666526),2014,23410001.339,7184684.1496,35.38,0.1031689947,0.176223405,197587.11111,0.5303388905,0.7076974504,0.7706745732,580184,1677658.1159,0
406,202,København Øresunds,6,Østerbrogade 151,2100,"01Jan1902 0:00:00,000",,1084,101,1084,"Østerbrogade 151, 2100 Denmark",55.714092,12.577286,1902-01-01,,1902,2025,2008,POINT (12.577286 55.714092),2014,23410001.339,7184684.1496,35.38,0.1031689947,0.176223405,197587.11111,0.5303388905,0.7076974504,0.7706745732,580184,1677658.1159,0
408,320,København Østerbro,13,Østerbrogade 101,2100,"01Jan1929 0:00:00,000",,1084,101,1084,"Østerbrogade 101, 2100 Denmark",55.709432,12.577196,1929-01-01,,1929,2025,2008,POINT (12.577196 55.709432),2014,23410001.339,7184684.1496,35.38,0.1031689947,0.176223405,197587.11111,0.5303388905,0.7076974504,0.7706745732,580184,1677658.1159,0
700,343,Vanløse Løve Apotek,6,"Vanløse Torv 1, st. 123",2720,"01Jan1937 0:00:00,000",,1084,101,1084,"Vanløse Torv 1, st. 123, 2720 Denmark",55.708988,12.583695,1937-01-01,,1937,2025,2008,POINT (12.583695 55.708988),2014,23410001.339,7184684.1496,35.38,0.1031689947,0.176223405,197587.11111,0.5303388905,0.7076974504,0.7706745732,580184,1677658.1159,0
